email_text,category,good_response_traits
"Hi, I was charged twice for my subscription last month. Can I get a refund for the duplicate charge?",billing,"Acknowledge the issue, apologize, explain refund process"
"My dashboard keeps showing a 502 error whenever I try to load my project analytics. This started yesterday.",technical,"Ask for browser/OS details, suggest cache clearing, escalate if persistent"
"I'd like to change the email address associated with my account. My old email is no longer active.",account,"Provide steps to update email, verify identity first"
"What programming languages does your platform support?",general,"List supported languages, link to documentation"
"I cancelled my plan but I'm still being billed. Please stop charging my card immediately.",billing,"Apologize, verify cancellation status, initiate refund if applicable"
"The API endpoint /v2/droplets returns a 500 error when I include the tag_name parameter in my request.",technical,"Acknowledge the bug report, ask for request payload, check known issues"
"Can I transfer ownership of my account to another person in my organization?",account,"Explain account transfer process, mention any restrictions"
"Do you offer any discounts for startups or educational institutions?",general,"Mention available programs, link to application page"
"My invoice from March shows charges for services I didn't use. The line items don't match my active resources.",billing,"Ask for invoice number, explain line item details, offer to review"
"I'm getting timeout errors when trying to SSH into my droplet. It was working fine until this morning.",technical,"Check droplet status, suggest firewall review, verify SSH key"
"I need to enable two-factor authentication on my account but can't find the option.",account,"Provide step-by-step instructions for enabling 2FA"
"What's the difference between your Basic and Professional plans?",general,"Compare plan features, pricing, and limits clearly"
"I was promised a promotional credit but it hasn't appeared on my account after two weeks.",billing,"Apologize for delay, verify promotion details, apply credit manually if valid"
"My managed database cluster is showing high CPU usage even though there's minimal traffic.",technical,"Ask for cluster details, suggest checking slow queries, review scaling options"
"How do I delete my account and all associated data permanently?",account,"Explain deletion process, warn about data loss, mention data export option"
"Can your platform integrate with GitHub Actions for CI/CD?",general,"Confirm integration support, link to setup guide"
"I received a payment failure notification but my bank says the charge went through.",billing,"Ask for transaction reference, check payment processor records"
"My app deployed on App Platform crashes on startup with an out-of-memory error. I'm using a 512MB container.",technical,"Suggest upgrading container size, review app memory usage, check for memory leaks"
"I accidentally removed a team member who had admin access. How can I restore their permissions?",account,"Provide steps to re-invite team member, explain permission levels"
"How does your pricing work for bandwidth overages?",general,"Explain bandwidth pricing model, mention included bandwidth per plan"
"You charged me for a droplet I already destroyed last week. I want this reversed.",billing,"Verify droplet destruction time, check billing cycle, process adjustment"
"My load balancer health checks keep failing even though my backend servers are running normally.",technical,"Ask for health check config, suggest checking ports and paths, review firewall rules"
"I need to update my company name on the billing address for all future invoices.",account,"Explain how to update billing details, confirm if retroactive changes are possible"
"Do you provide any uptime SLA guarantees?",general,"State SLA percentage, link to SLA terms, explain credit process for breaches"
"I'm being charged for a snapshot I didn't create. I don't even know how snapshots work.",billing,"Explain what snapshots are, help identify the snapshot, process deletion and adjustment"
"I can't pull my Docker image from your container registry. It says 'unauthorized' even though I'm logged in.",technical,"Verify registry credentials, check token expiry, suggest re-authentication"
"I need to change the primary contact for our organization's account.",account,"Explain org management, provide steps for contact change, verify authorization"
"What regions are available for deploying applications?",general,"List available regions with data center locations"
"My automatic payment keeps failing each month and I have to manually pay. This is frustrating.",billing,"Apologize, check card on file, suggest alternative payment method"
"The monitoring alerts I configured aren't firing even when my metrics clearly breach the thresholds.",technical,"Check alert configuration, verify notification channels, review threshold settings"
"I locked myself out of my account after too many failed login attempts. How do I regain access?",account,"Explain account recovery process, verify identity, offer manual unlock"
"Is there a free tier or trial period I can use to test the platform?",general,"Describe free tier offerings, mention trial credits if available"
"I was billed for Reserved IP addresses that I'm not using on any active resources.",billing,"Explain reserved IP billing, help release unused IPs, process credit"
"My Kubernetes cluster nodes keep restarting randomly. The kubelet logs show OOM kills.",technical,"Review node resource limits, check pod resource requests, suggest node pool resizing"
"Can I add multiple email addresses to receive billing notifications?",account,"Explain notification settings, provide steps for adding billing contacts"
"What kind of support plans do you offer and what are the response times?",general,"Describe support tiers, response time guarantees, pricing"
"I'm disputing a charge from 3 months ago. My usage was zero but I was still billed for the full plan.",billing,"Check usage logs for the period, review plan terms, explain proration policy"
"My managed Redis instance is rejecting connections with 'max clients reached' even though I haven't hit the limit.",technical,"Check connection pooling, look for leaked connections, review client configuration"
"How do I set up SSO with my company's identity provider?",account,"Explain SSO setup process, list supported identity providers, link to docs"
"Can I use your CDN with a custom domain and SSL certificate?",general,"Confirm custom domain support, explain SSL certificate options"
